Aaden has 	 fav team: Cardinals 	 RedSox friends: 47 	 Cardinals friends: 18
Jessa has 	 fav team: Red Sox 	 RedSox friends: 52 	 Cardinals friends: 23
Jesse has 	 fav team: Cardinals 	 RedSox friends: 35 	 Cardinals friends: 62
Jessica has 	 fav team: Cardinals 	 RedSox friends: 41 	 Cardinals friends: 44
Jessie has 	 fav team: Cardinals 	 RedSox friends: 20 	 Cardinals friends: 45
Jesus has 	 fav team: Red Sox 	 RedSox friends: 50 	 Cardinals friends: 31
Jett has 	 fav team: Cardinals 	 RedSox friends: 34 	 Cardinals friends: 40
Jewel has 	 fav team: Red Sox 	 RedSox friends: 47 	 Cardinals friends: 32
Jillian has 	 fav team: Red Sox 	 RedSox friends: 49 	 Cardinals friends: 20
Jimena has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 45
Jimmy has 	 fav team: Red Sox 	 RedSox friends: 56 	 Cardinals friends: 34
Jionni has 	 fav team: Red Sox 	 RedSox friends: 52 	 Cardinals friends: 32
Joanna has 	 fav team: Cardinals 	 RedSox friends: 19 	 Cardinals friends: 46
Joaquin has 	 fav team: Cardinals 	 RedSox friends: 31 	 Cardinals friends: 45
Jocelyn has 	 fav team: Red Sox 	 RedSox friends: 53 	 Cardinals friends: 33
Jocelynn has 	 fav team: Cardinals 	 RedSox friends: 23 	 Cardinals friends: 46
Joe has 	 fav team: Cardinals 	 RedSox friends: 29 	 Cardinals friends: 54
Joel has 	 fav team: Red Sox 	 RedSox friends: 59 	 Cardinals friends: 35
Joey has 	 fav team: Cardinals 	 RedSox friends: 29 	 Cardinals friends: 49
Johan has 	 fav team: Cardinals 	 RedSox friends: 34 	 Cardinals friends: 57
Johann has 	 fav team: Red Sox 	 RedSox friends: 42 	 Cardinals friends: 27
Johanna has 	 fav team: Red Sox 	 RedSox friends: 56 	 Cardinals friends: 26
John has 	 fav team: Cardinals 	 RedSox friends: 40 	 Cardinals friends: 49
Johnathan has 	 fav team: Red Sox 	 RedSox friends: 51 	 Cardinals friends: 21
Johnathon has 	 fav team: Cardinals 	 RedSox friends: 34 	 Cardinals friends: 40
Johnny has 	 fav team: Cardinals 	 RedSox friends: 30 	 Cardinals friends: 45
Jolene has 	 fav team: Red Sox 	 RedSox friends: 60 	 Cardinals friends: 29
Jolie has 	 fav team: Cardinals 	 RedSox friends: 34 	 Cardinals friends: 54
Jon has 	 fav team: Cardinals 	 RedSox friends: 30 	 Cardinals friends: 52
Jonah has 	 fav team: Cardinals 	 RedSox friends: 30 	 Cardinals friends: 53
Jonas has 	 fav team: Cardinals 	 RedSox friends: 36 	 Cardinals friends: 38
Jonathan has 	 fav team: Cardinals 	 RedSox friends: 31 	 Cardinals friends: 44
Jonathon has 	 fav team: Cardinals 	 RedSox friends: 35 	 Cardinals friends: 47
Jordan has 	 fav team: Cardinals 	 RedSox friends: 25 	 Cardinals friends: 38
Jorden has 	 fav team: Red Sox 	 RedSox friends: 63 	 Cardinals friends: 37
Jordyn has 	 fav team: Cardinals 	 RedSox friends: 31 	 Cardinals friends: 54
Jordynn has 	 fav team: Cardinals 	 RedSox friends: 32 	 Cardinals friends: 39
Jorge has 	 fav team: Red Sox 	 RedSox friends: 53 	 Cardinals friends: 28
Jose has 	 fav team: Red Sox 	 RedSox friends: 40 	 Cardinals friends: 24
Joselyn has 	 fav team: Red Sox 	 RedSox friends: 38 	 Cardinals friends: 32
Joseph has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 46
Josephine has 	 fav team: Cardinals 	 RedSox friends: 31 	 Cardinals friends: 51
Joshua has 	 fav team: Cardinals 	 RedSox friends: 37 	 Cardinals friends: 46
Josiah has 	 fav team: Cardinals 	 RedSox friends: 31 	 Cardinals friends: 55
Josie has 	 fav team: Cardinals 	 RedSox friends: 30 	 Cardinals friends: 40
Joslyn has 	 fav team: Red Sox 	 RedSox friends: 44 	 Cardinals friends: 28
Josue has 	 fav team: Cardinals 	 RedSox friends: 36 	 Cardinals friends: 56
Journee has 	 fav team: Cardinals 	 RedSox friends: 34 	 Cardinals friends: 43
Journey has 	 fav team: Red Sox 	 RedSox friends: 64 	 Cardinals friends: 30
Jovani has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 46
Jovanni has 	 fav team: Cardinals 	 RedSox friends: 29 	 Cardinals friends: 52
Joy has 	 fav team: Red Sox 	 RedSox friends: 43 	 Cardinals friends: 32
Joyce has 	 fav team: Cardinals 	 RedSox friends: 21 	 Cardinals friends: 55
Joziah has 	 fav team: Red Sox 	 RedSox friends: 41 	 Cardinals friends: 25
Juan has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 44
Judah has 	 fav team: Cardinals 	 RedSox friends: 18 	 Cardinals friends: 57
Jude has 	 fav team: Red Sox 	 RedSox friends: 49 	 Cardinals friends: 24
Judith has 	 fav team: Red Sox 	 RedSox friends: 49 	 Cardinals friends: 27
Juelz has 	 fav team: Cardinals 	 RedSox friends: 27 	 Cardinals friends: 46
Julia has 	 fav team: Cardinals 	 RedSox friends: 29 	 Cardinals friends: 45
Julian has 	 fav team: Red Sox 	 RedSox friends: 55 	 Cardinals friends: 32
Juliana has 	 fav team: Red Sox 	 RedSox friends: 54 	 Cardinals friends: 30
Julianna has 	 fav team: Cardinals 	 RedSox friends: 25 	 Cardinals friends: 51
Julianne has 	 fav team: Red Sox 	 RedSox friends: 46 	 Cardinals friends: 34
Julie has 	 fav team: Red Sox 	 RedSox friends: 51 	 Cardinals friends: 32
Julien has 	 fav team: Red Sox 	 RedSox friends: 50 	 Cardinals friends: 34
Juliet has 	 fav team: Red Sox 	 RedSox friends: 51 	 Cardinals friends: 27
Juliette has 	 fav team: Red Sox 	 RedSox friends: 56 	 Cardinals friends: 28
Julio has 	 fav team: Cardinals 	 RedSox friends: 32 	 Cardinals friends: 53
Julissa has 	 fav team: Cardinals 	 RedSox friends: 24 	 Cardinals friends: 55
Julius has 	 fav team: Red Sox 	 RedSox friends: 62 	 Cardinals friends: 31
June has 	 fav team: Red Sox 	 RedSox friends: 46 	 Cardinals friends: 17
Junior has 	 fav team: Cardinals 	 RedSox friends: 32 	 Cardinals friends: 37
Juniper has 	 fav team: Red Sox 	 RedSox friends: 37 	 Cardinals friends: 25
Justice has 	 fav team: Red Sox 	 RedSox friends: 51 	 Cardinals friends: 28
Justin has 	 fav team: Red Sox 	 RedSox friends: 45 	 Cardinals friends: 26
Justus has 	 fav team: Cardinals 	 RedSox friends: 19 	 Cardinals friends: 58
Kade has 	 fav team: Cardinals 	 RedSox friends: 26 	 Cardinals friends: 47
Kaden has 	 fav team: Cardinals 	 RedSox friends: 29 	 Cardinals friends: 50
Kadence has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 46
Kaeden has 	 fav team: Cardinals 	 RedSox friends: 40 	 Cardinals friends: 51
Kael has 	 fav team: Cardinals 	 RedSox friends: 23 	 Cardinals friends: 51
Kaelyn has 	 fav team: Cardinals 	 RedSox friends: 30 	 Cardinals friends: 41
Kaelynn has 	 fav team: Red Sox 	 RedSox friends: 37 	 Cardinals friends: 25
Kai has 	 fav team: Cardinals 	 RedSox friends: 30 	 Cardinals friends: 59
Kaia has 	 fav team: Red Sox 	 RedSox friends: 59 	 Cardinals friends: 32
Kaiden has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 52
Kailee has 	 fav team: Red Sox 	 RedSox friends: 48 	 Cardinals friends: 25
Kailey has 	 fav team: Red Sox 	 RedSox friends: 48 	 Cardinals friends: 24
Kailyn has 	 fav team: Cardinals 	 RedSox friends: 33 	 Cardinals friends: 56
Kailynn has 	 fav team: Red Sox 	 RedSox friends: 46 	 Cardinals friends: 24
Kairi has 	 fav team: Cardinals 	 RedSox friends: 33 	 Cardinals friends: 46
Kaitlin has 	 fav team: Cardinals 	 RedSox friends: 23 	 Cardinals friends: 49
Kaitlyn has 	 fav team: Cardinals 	 RedSox friends: 31 	 Cardinals friends: 50
Kaitlynn has 	 fav team: Red Sox 	 RedSox friends: 57 	 Cardinals friends: 29
Kaiya has 	 fav team: Red Sox 	 RedSox friends: 54 	 Cardinals friends: 24
Kale has 	 fav team: Red Sox 	 RedSox friends: 60 	 Cardinals friends: 30
Kaleb has 	 fav team: Red Sox 	 RedSox friends: 48 	 Cardinals friends: 20
Kaleigh has 	 fav team: Red Sox 	 RedSox friends: 46 	 Cardinals friends: 29
Kali has 	 fav team: Red Sox 	 RedSox friends: 50 	 Cardinals friends: 36
Kaliyah has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 49
Kallie has 	 fav team: Red Sox 	 RedSox friends: 52 	 Cardinals friends: 33
Kamari has 	 fav team: Cardinals 	 RedSox friends: 33 	 Cardinals friends: 56
Kamden has 	 fav team: Red Sox 	 RedSox friends: 54 	 Cardinals friends: 29
Kameron has 	 fav team: Cardinals 	 RedSox friends: 34 	 Cardinals friends: 53
Kamila has 	 fav team: Red Sox 	 RedSox friends: 47 	 Cardinals friends: 33
Kamron has 	 fav team: Cardinals 	 RedSox friends: 32 	 Cardinals friends: 42
Kamryn has 	 fav team: Red Sox 	 RedSox friends: 44 	 Cardinals friends: 22
Kane has 	 fav team: Red Sox 	 RedSox friends: 54 	 Cardinals friends: 39
Kara has 	 fav team: Cardinals 	 RedSox friends: 29 	 Cardinals friends: 49
Kareem has 	 fav team: Red Sox 	 RedSox friends: 59 	 Cardinals friends: 32
Karen has 	 fav team: Cardinals 	 RedSox friends: 34 	 Cardinals friends: 49
Karina has 	 fav team: Red Sox 	 RedSox friends: 53 	 Cardinals friends: 21
Karis has 	 fav team: Red Sox 	 RedSox friends: 34 	 Cardinals friends: 21
Karissa has 	 fav team: Red Sox 	 RedSox friends: 53 	 Cardinals friends: 42
Karla has 	 fav team: Cardinals 	 RedSox friends: 40 	 Cardinals friends: 52
Karlee has 	 fav team: Cardinals 	 RedSox friends: 26 	 Cardinals friends: 47
Karlie has 	 fav team: Cardinals 	 RedSox friends: 34 	 Cardinals friends: 49
Karma has 	 fav team: Red Sox 	 RedSox friends: 44 	 Cardinals friends: 26
Karsen has 	 fav team: Cardinals 	 RedSox friends: 31 	 Cardinals friends: 42
Karson has 	 fav team: Red Sox 	 RedSox friends: 45 	 Cardinals friends: 31
Karsyn has 	 fav team: Cardinals 	 RedSox friends: 31 	 Cardinals friends: 41
Karter has 	 fav team: Red Sox 	 RedSox friends: 54 	 Cardinals friends: 38
Kase has 	 fav team: Red Sox 	 RedSox friends: 51 	 Cardinals friends: 34
Kasen has 	 fav team: Red Sox 	 RedSox friends: 49 	 Cardinals friends: 23
Kasey has 	 fav team: Cardinals 	 RedSox friends: 33 	 Cardinals friends: 49
Kash has 	 fav team: Cardinals 	 RedSox friends: 36 	 Cardinals friends: 46
Kason has 	 fav team: Red Sox 	 RedSox friends: 62 	 Cardinals friends: 25
Kassandra has 	 fav team: Cardinals 	 RedSox friends: 30 	 Cardinals friends: 50
Kassidy has 	 fav team: Red Sox 	 RedSox friends: 48 	 Cardinals friends: 33
Katalina has 	 fav team: Red Sox 	 RedSox friends: 62 	 Cardinals friends: 35
Kate has 	 fav team: Red Sox 	 RedSox friends: 57 	 Cardinals friends: 23
Katelyn has 	 fav team: Cardinals 	 RedSox friends: 25 	 Cardinals friends: 50
Katelynn has 	 fav team: Red Sox 	 RedSox friends: 56 	 Cardinals friends: 24
Katherine has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 41
Kathleen has 	 fav team: Cardinals 	 RedSox friends: 20 	 Cardinals friends: 39
Kathryn has 	 fav team: Red Sox 	 RedSox friends: 53 	 Cardinals friends: 23
Katie has 	 fav team: Red Sox 	 RedSox friends: 44 	 Cardinals friends: 30
Katrina has 	 fav team: Red Sox 	 RedSox friends: 40 	 Cardinals friends: 32
Kaya has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 48
Kayden has 	 fav team: Cardinals 	 RedSox friends: 42 	 Cardinals friends: 40
Kaydence has 	 fav team: Cardinals 	 RedSox friends: 29 	 Cardinals friends: 42
Kayla has 	 fav team: Red Sox 	 RedSox friends: 61 	 Cardinals friends: 31
Kaylee has 	 fav team: Red Sox 	 RedSox friends: 46 	 Cardinals friends: 40
Kayleigh has 	 fav team: Cardinals 	 RedSox friends: 31 	 Cardinals friends: 41
Kaylen has 	 fav team: Cardinals 	 RedSox friends: 30 	 Cardinals friends: 44
Kaylie has 	 fav team: Cardinals 	 RedSox friends: 25 	 Cardinals friends: 57
Kaylin has 	 fav team: Red Sox 	 RedSox friends: 57 	 Cardinals friends: 36
Kaylyn has 	 fav team: Cardinals 	 RedSox friends: 36 	 Cardinals friends: 50
Kaylynn has 	 fav team: Cardinals 	 RedSox friends: 37 	 Cardinals friends: 56
Kaysen has 	 fav team: Cardinals 	 RedSox friends: 30 	 Cardinals friends: 44
Kayson has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 47
Keagan has 	 fav team: Red Sox 	 RedSox friends: 60 	 Cardinals friends: 29
Keaton has 	 fav team: Red Sox 	 RedSox friends: 54 	 Cardinals friends: 38
Keegan has 	 fav team: Cardinals 	 RedSox friends: 31 	 Cardinals friends: 52
Keenan has 	 fav team: Cardinals 	 RedSox friends: 29 	 Cardinals friends: 51
Keira has 	 fav team: Red Sox 	 RedSox friends: 62 	 Cardinals friends: 28
Keith has 	 fav team: Red Sox 	 RedSox friends: 46 	 Cardinals friends: 32
Kellan has 	 fav team: Red Sox 	 RedSox friends: 50 	 Cardinals friends: 29
Kellen has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 62
Kelly has 	 fav team: Cardinals 	 RedSox friends: 34 	 Cardinals friends: 39
Kelsey has 	 fav team: Red Sox 	 RedSox friends: 55 	 Cardinals friends: 37
Kelvin has 	 fav team: Cardinals 	 RedSox friends: 33 	 Cardinals friends: 60
Kendal has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 42
Kendall has 	 fav team: Red Sox 	 RedSox friends: 53 	 Cardinals friends: 35
Kendra has 	 fav team: Red Sox 	 RedSox friends: 47 	 Cardinals friends: 30
Kendrick has 	 fav team: Cardinals 	 RedSox friends: 45 	 Cardinals friends: 48
Kendyl has 	 fav team: Cardinals 	 RedSox friends: 31 	 Cardinals friends: 49
Kenia has 	 fav team: Cardinals 	 RedSox friends: 36 	 Cardinals friends: 52
Kenley has 	 fav team: Cardinals 	 RedSox friends: 25 	 Cardinals friends: 45
Kenna has 	 fav team: Cardinals 	 RedSox friends: 23 	 Cardinals friends: 50
Kennedi has 	 fav team: Red Sox 	 RedSox friends: 54 	 Cardinals friends: 22
Kennedy has 	 fav team: Cardinals 	 RedSox friends: 35 	 Cardinals friends: 59
Kenneth has 	 fav team: Red Sox 	 RedSox friends: 59 	 Cardinals friends: 24
Kenny has 	 fav team: Red Sox 	 RedSox friends: 50 	 Cardinals friends: 22
Kensley has 	 fav team: Red Sox 	 RedSox friends: 58 	 Cardinals friends: 30
Kenya has 	 fav team: Red Sox 	 RedSox friends: 63 	 Cardinals friends: 32
Kenzie has 	 fav team: Cardinals 	 RedSox friends: 21 	 Cardinals friends: 58
Kevin has 	 fav team: Cardinals 	 RedSox friends: 30 	 Cardinals friends: 47
Keyla has 	 fav team: Cardinals 	 RedSox friends: 31 	 Cardinals friends: 45
Khalil has 	 fav team: Cardinals 	 RedSox friends: 26 	 Cardinals friends: 50
Khloe has 	 fav team: Red Sox 	 RedSox friends: 53 	 Cardinals friends: 28
Kian has 	 fav team: Cardinals 	 RedSox friends: 40 	 Cardinals friends: 51
Kiana has 	 fav team: Cardinals 	 RedSox friends: 27 	 Cardinals friends: 45
Kiara has 	 fav team: Cardinals 	 RedSox friends: 23 	 Cardinals friends: 58
Kiera has 	 fav team: Red Sox 	 RedSox friends: 55 	 Cardinals friends: 22
Kieran has 	 fav team: Red Sox 	 RedSox friends: 53 	 Cardinals friends: 31
Kiley has 	 fav team: Red Sox 	 RedSox friends: 37 	 Cardinals friends: 27
Killian has 	 fav team: Red Sox 	 RedSox friends: 51 	 Cardinals friends: 26
Kimber has 	 fav team: Red Sox 	 RedSox friends: 46 	 Cardinals friends: 28
Kimberly has 	 fav team: Red Sox 	 RedSox friends: 54 	 Cardinals friends: 32
Kimora has 	 fav team: Red Sox 	 RedSox friends: 36 	 Cardinals friends: 33
King has 	 fav team: Red Sox 	 RedSox friends: 48 	 Cardinals friends: 29
Kingsley has 	 fav team: Red Sox 	 RedSox friends: 41 	 Cardinals friends: 22
Kingston has 	 fav team: Cardinals 	 RedSox friends: 33 	 Cardinals friends: 43
Kinley has 	 fav team: Red Sox 	 RedSox friends: 54 	 Cardinals friends: 34
Kinsley has 	 fav team: Red Sox 	 RedSox friends: 52 	 Cardinals friends: 27
Kira has 	 fav team: Cardinals 	 RedSox friends: 35 	 Cardinals friends: 38
Kirsten has 	 fav team: Red Sox 	 RedSox friends: 50 	 Cardinals friends: 24
Knox has 	 fav team: Red Sox 	 RedSox friends: 38 	 Cardinals friends: 26
Kobe has 	 fav team: Red Sox 	 RedSox friends: 51 	 Cardinals friends: 18
Kody has 	 fav team: Cardinals 	 RedSox friends: 26 	 Cardinals friends: 45
Kohen has 	 fav team: Cardinals 	 RedSox friends: 30 	 Cardinals friends: 47
Kolby has 	 fav team: Cardinals 	 RedSox friends: 34 	 Cardinals friends: 43
Kole has 	 fav team: Red Sox 	 RedSox friends: 51 	 Cardinals friends: 28
Kolten has 	 fav team: Cardinals 	 RedSox friends: 37 	 Cardinals friends: 43
Kolton has 	 fav team: Red Sox 	 RedSox friends: 60 	 Cardinals friends: 37
Konner has 	 fav team: Red Sox 	 RedSox friends: 39 	 Cardinals friends: 21
Konnor has 	 fav team: Cardinals 	 RedSox friends: 26 	 Cardinals friends: 46
Kora has 	 fav team: Red Sox 	 RedSox friends: 49 	 Cardinals friends: 32
Korbin has 	 fav team: Red Sox 	 RedSox friends: 49 	 Cardinals friends: 32
Kourtney has 	 fav team: Red Sox 	 RedSox friends: 39 	 Cardinals friends: 24
Krish has 	 fav team: Cardinals 	 RedSox friends: 35 	 Cardinals friends: 39
Kristen has 	 fav team: Red Sox 	 RedSox friends: 45 	 Cardinals friends: 27
Kristian has 	 fav team: Red Sox 	 RedSox friends: 58 	 Cardinals friends: 30
Kristina has 	 fav team: Red Sox 	 RedSox friends: 45 	 Cardinals friends: 28
Kristopher has 	 fav team: Cardinals 	 RedSox friends: 25 	 Cardinals friends: 52
Krystal has 	 fav team: Red Sox 	 RedSox friends: 57 	 Cardinals friends: 33
Kyla has 	 fav team: Red Sox 	 RedSox friends: 52 	 Cardinals friends: 30
Kylah has 	 fav team: Red Sox 	 RedSox friends: 50 	 Cardinals friends: 26
Kylan has 	 fav team: Red Sox 	 RedSox friends: 37 	 Cardinals friends: 33
Kyle has 	 fav team: Red Sox 	 RedSox friends: 41 	 Cardinals friends: 37
Kylee has 	 fav team: Cardinals 	 RedSox friends: 34 	 Cardinals friends: 52
Kyleigh has 	 fav team: Cardinals 	 RedSox friends: 30 	 Cardinals friends: 55
Kylen has 	 fav team: Cardinals 	 RedSox friends: 25 	 Cardinals friends: 42
Kyler has 	 fav team: Cardinals 	 RedSox friends: 29 	 Cardinals friends: 48
Kylie has 	 fav team: Cardinals 	 RedSox friends: 39 	 Cardinals friends: 56
Kymani has 	 fav team: Cardinals 	 RedSox friends: 26 	 Cardinals friends: 60
Kyndal has 	 fav team: Red Sox 	 RedSox friends: 41 	 Cardinals friends: 30
Kyndall has 	 fav team: Red Sox 	 RedSox friends: 38 	 Cardinals friends: 30
Kynlee has 	 fav team: Red Sox 	 RedSox friends: 43 	 Cardinals friends: 28
Kyra has 	 fav team: Cardinals 	 RedSox friends: 35 	 Cardinals friends: 52
Kyree has 	 fav team: Red Sox 	 RedSox friends: 54 	 Cardinals friends: 31
Kyrie has 	 fav team: Red Sox 	 RedSox friends: 46 	 Cardinals friends: 31
Kyson has 	 fav team: Cardinals 	 RedSox friends: 19 	 Cardinals friends: 38
Lacey has 	 fav team: Cardinals 	 RedSox friends: 18 	 Cardinals friends: 49
Laila has 	 fav team: Cardinals 	 RedSox friends: 34 	 Cardinals friends: 52
Lailah has 	 fav team: Cardinals 	 RedSox friends: 33 	 Cardinals friends: 47
Lainey has 	 fav team: Red Sox 	 RedSox friends: 50 	 Cardinals friends: 44
Lamar has 	 fav team: Cardinals 	 RedSox friends: 23 	 Cardinals friends: 46
Lana has 	 fav team: Cardinals 	 RedSox friends: 23 	 Cardinals friends: 41
Lance has 	 fav team: Red Sox 	 RedSox friends: 50 	 Cardinals friends: 37
Landen has 	 fav team: Red Sox 	 RedSox friends: 54 	 Cardinals friends: 29
Landon has 	 fav team: Cardinals 	 RedSox friends: 23 	 Cardinals friends: 47
Landry has 	 fav team: Red Sox 	 RedSox friends: 56 	 Cardinals friends: 32
Landyn has 	 fav team: Cardinals 	 RedSox friends: 27 	 Cardinals friends: 49
Lane has 	 fav team: Cardinals 	 RedSox friends: 19 	 Cardinals friends: 47
Laney has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 62
Lara has 	 fav team: Red Sox 	 RedSox friends: 49 	 Cardinals friends: 29
Larissa has 	 fav team: Red Sox 	 RedSox friends: 51 	 Cardinals friends: 27
Larry has 	 fav team: Cardinals 	 RedSox friends: 27 	 Cardinals friends: 57
Laura has 	 fav team: Red Sox 	 RedSox friends: 57 	 Cardinals friends: 40
Laurel has 	 fav team: Cardinals 	 RedSox friends: 20 	 Cardinals friends: 40
Lauren has 	 fav team: Cardinals 	 RedSox friends: 18 	 Cardinals friends: 50
Lauryn has 	 fav team: Red Sox 	 RedSox friends: 52 	 Cardinals friends: 32
Lawrence has 	 fav team: Red Sox 	 RedSox friends: 37 	 Cardinals friends: 40
Lawson has 	 fav team: Red Sox 	 RedSox friends: 63 	 Cardinals friends: 26
Layla has 	 fav team: Cardinals 	 RedSox friends: 37 	 Cardinals friends: 47
Laylah has 	 fav team: Red Sox 	 RedSox friends: 60 	 Cardinals friends: 26
Layne has 	 fav team: Red Sox 	 RedSox friends: 64 	 Cardinals friends: 30
Layton has 	 fav team: Red Sox 	 RedSox friends: 52 	 Cardinals friends: 24
Lea has 	 fav team: Red Sox 	 RedSox friends: 62 	 Cardinals friends: 28
Leah has 	 fav team: Cardinals 	 RedSox friends: 21 	 Cardinals friends: 34
Leandro has 	 fav team: Cardinals 	 RedSox friends: 31 	 Cardinals friends: 56
Leanna has 	 fav team: Cardinals 	 RedSox friends: 40 	 Cardinals friends: 56
Lee has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 42
Legend has 	 fav team: Red Sox 	 RedSox friends: 37 	 Cardinals friends: 33
Leia has 	 fav team: Red Sox 	 RedSox friends: 50 	 Cardinals friends: 31
Leighton has 	 fav team: Cardinals 	 RedSox friends: 29 	 Cardinals friends: 50
Leila has 	 fav team: Red Sox 	 RedSox friends: 46 	 Cardinals friends: 32
Leilani has 	 fav team: Cardinals 	 RedSox friends: 34 	 Cardinals friends: 52
Leland has 	 fav team: Red Sox 	 RedSox friends: 51 	 Cardinals friends: 21
Lena has 	 fav team: Cardinals 	 RedSox friends: 20 	 Cardinals friends: 49
Lennon has 	 fav team: Red Sox 	 RedSox friends: 45 	 Cardinals friends: 29
Lennox has 	 fav team: Cardinals 	 RedSox friends: 21 	 Cardinals friends: 49
Leo has 	 fav team: Cardinals 	 RedSox friends: 32 	 Cardinals friends: 32
Leon has 	 fav team: Red Sox 	 RedSox friends: 50 	 Cardinals friends: 28
Leona has 	 fav team: Cardinals 	 RedSox friends: 36 	 Cardinals friends: 46
Leonard has 	 fav team: Cardinals 	 RedSox friends: 32 	 Cardinals friends: 49
Leonardo has 	 fav team: Cardinals 	 RedSox friends: 29 	 Cardinals friends: 55
Leonel has 	 fav team: Cardinals 	 RedSox friends: 26 	 Cardinals friends: 36
Leonidas has 	 fav team: Cardinals 	 RedSox friends: 33 	 Cardinals friends: 54
Leroy has 	 fav team: Red Sox 	 RedSox friends: 57 	 Cardinals friends: 31
Leslie has 	 fav team: Cardinals 	 RedSox friends: 30 	 Cardinals friends: 45
Lesly has 	 fav team: Red Sox 	 RedSox friends: 40 	 Cardinals friends: 37
Levi has 	 fav team: Red Sox 	 RedSox friends: 61 	 Cardinals friends: 31
Lewis has 	 fav team: Red Sox 	 RedSox friends: 45 	 Cardinals friends: 36
Lexi has 	 fav team: Cardinals 	 RedSox friends: 23 	 Cardinals friends: 42
Lexie has 	 fav team: Red Sox 	 RedSox friends: 44 	 Cardinals friends: 27
Leyla has 	 fav team: Cardinals 	 RedSox friends: 26 	 Cardinals friends: 42
Lia has 	 fav team: Red Sox 	 RedSox friends: 49 	 Cardinals friends: 29
Liam has 	 fav team: Cardinals 	 RedSox friends: 30 	 Cardinals friends: 44
Liana has 	 fav team: Red Sox 	 RedSox friends: 48 	 Cardinals friends: 34
Libby has 	 fav team: Red Sox 	 RedSox friends: 53 	 Cardinals friends: 28
Liberty has 	 fav team: Cardinals 	 RedSox friends: 21 	 Cardinals friends: 55
Lila has 	 fav team: Cardinals 	 RedSox friends: 31 	 Cardinals friends: 44
Lilah has 	 fav team: Cardinals 	 RedSox friends: 34 	 Cardinals friends: 43
Lilia has 	 fav team: Red Sox 	 RedSox friends: 60 	 Cardinals friends: 36
Lilian has 	 fav team: Red Sox 	 RedSox friends: 43 	 Cardinals friends: 27
Liliana has 	 fav team: Red Sox 	 RedSox friends: 55 	 Cardinals friends: 42
Lilianna has 	 fav team: Red Sox 	 RedSox friends: 56 	 Cardinals friends: 24
Lilith has 	 fav team: Red Sox 	 RedSox friends: 45 	 Cardinals friends: 15
Lillian has 	 fav team: Cardinals 	 RedSox friends: 24 	 Cardinals friends: 51
Lilliana has 	 fav team: Cardinals 	 RedSox friends: 30 	 Cardinals friends: 46
Lillianna has 	 fav team: Cardinals 	 RedSox friends: 33 	 Cardinals friends: 56
Lillie has 	 fav team: Cardinals 	 RedSox friends: 23 	 Cardinals friends: 37
Lilly has 	 fav team: Cardinals 	 RedSox friends: 29 	 Cardinals friends: 45
Lillyana has 	 fav team: Red Sox 	 RedSox friends: 45 	 Cardinals friends: 30
Lily has 	 fav team: Cardinals 	 RedSox friends: 33 	 Cardinals friends: 48
Lilyana has 	 fav team: Red Sox 	 RedSox friends: 44 	 Cardinals friends: 32
Lilyanna has 	 fav team: Cardinals 	 RedSox friends: 30 	 Cardinals friends: 56
Lina has 	 fav team: Red Sox 	 RedSox friends: 46 	 Cardinals friends: 29
Lincoln has 	 fav team: Cardinals 	 RedSox friends: 24 	 Cardinals friends: 48
Linda has 	 fav team: Cardinals 	 RedSox friends: 32 	 Cardinals friends: 48
Lindsay has 	 fav team: Cardinals 	 RedSox friends: 34 	 Cardinals friends: 39
Lindsey has 	 fav team: Cardinals 	 RedSox friends: 36 	 Cardinals friends: 51
Lionel has 	 fav team: Red Sox 	 RedSox friends: 37 	 Cardinals friends: 21
Lisa has 	 fav team: Cardinals 	 RedSox friends: 39 	 Cardinals friends: 44
Litzy has 	 fav team: Cardinals 	 RedSox friends: 35 	 Cardinals friends: 51
Livia has 	 fav team: Red Sox 	 RedSox friends: 52 	 Cardinals friends: 36
Lizbeth has 	 fav team: Cardinals 	 RedSox friends: 24 	 Cardinals friends: 54
Logan has 	 fav team: Red Sox 	 RedSox friends: 50 	 Cardinals friends: 40
Lola has 	 fav team: Cardinals 	 RedSox friends: 35 	 Cardinals friends: 55
London has 	 fav team: Red Sox 	 RedSox friends: 39 	 Cardinals friends: 26
Londyn has 	 fav team: Red Sox 	 RedSox friends: 50 	 Cardinals friends: 33
